Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
1-Jan-22,01,867.00,"1,152.70",32.86,32.35,0.23,0.28,26.59,25.95,0.00,0.64,35,35
1-Jan-22,02,978.20,"1,116.94",33.00,32.31,0.28,0.41,26.50,25.87,0.00,0.63,35,35
1-Jan-22,03,923.30,"1,093.61",31.52,30.85,0.00,0.67,28.11,27.50,0.00,0.61,35,35
1-Jan-22,04,906.20,"1,085.77",30.30,29.69,0.00,0.61,25.67,25.13,0.00,0.54,35,35
1-Jan-22,05,921.80,"1,099.98",31.53,30.86,0.00,0.67,29.99,29.27,0.00,0.72,35,35
1-Jan-22,06,952.70,"1,106.57",31.53,30.83,0.00,0.70,29.11,28.41,0.00,0.70,34,34
1-Jan-22,07,963.00,"1,153.42",31.14,30.71,0.00,0.43,25.46,24.92,0.00,0.54,34,34
1-Jan-22,08,"1,054.70","1,235.91",31.32,30.76,0.00,0.56,23.43,22.90,0.00,0.53,36,36
1-Jan-22,09,"1,136.60","1,307.41",32.98,32.62,0.00,0.36,24.55,23.89,0.00,0.66,35,35
1-Jan-22,10,"1,248.10","1,390.59",33.81,33.34,0.00,0.47,22.75,22.29,0.00,0.46,36,36
1-Jan-22,11,"1,207.70","1,444.82",39.20,38.70,0.00,0.50,31.54,31.01,0.00,0.53,36,36
1-Jan-22,12,"1,198.70","1,475.31",42.34,41.76,0.00,0.58,35.00,34.54,0.00,0.46,37,37
1-Jan-22,13,"1,203.80","1,457.14",38.23,37.81,0.00,0.42,33.35,32.95,0.00,0.40,37,37
1-Jan-22,14,"1,168.00","1,463.78",33.83,33.61,0.00,0.22,33.72,33.22,0.00,0.50,38,38
1-Jan-22,15,"1,123.60","1,447.07",33.15,33.05,0.00,0.10,32.82,32.38,0.00,0.44,38,38
1-Jan-22,16,"1,204.40","1,458.92",34.24,34.03,0.00,0.21,31.64,31.28,0.00,0.36,38,38
1-Jan-22,17,"1,260.00","1,519.80",37.62,37.52,0.00,0.10,39.33,38.90,0.00,0.43,37,37
1-Jan-22,18,"1,237.60","1,545.55",50.51,50.47,0.00,0.04,42.41,41.88,0.00,0.53,37,37
1-Jan-22,19,"1,165.90","1,489.34",37.46,37.55,0.00,-0.09,37.62,37.27,0.00,0.35,36,36
1-Jan-22,20,"1,130.30","1,434.31",34.81,34.93,0.00,-0.12,33.57,33.41,0.00,0.16,36,36
1-Jan-22,21,"1,120.00","1,373.98",32.88,33.05,0.00,-0.17,31.67,31.42,0.00,0.25,35,35
1-Jan-22,22,"1,064.40","1,311.09",33.42,33.36,0.00,0.06,31.32,30.84,0.00,0.48,36,36
1-Jan-22,23,938.20,"1,254.18",30.14,29.82,0.00,0.32,28.44,27.92,0.00,0.52,36,36
1-Jan-22,24,876.90,"1,183.67",29.98,29.51,0.00,0.47,25.55,24.94,0.00,0.61,35,35
2-Jan-22,01,974.80,"1,119.25",32.32,31.74,0.00,0.58,18.79,18.34,0.00,0.45,36,36
2-Jan-22,02,927.10,"1,090.43",27.66,27.19,0.00,0.47,19.22,18.81,0.00,0.41,35,35
2-Jan-22,03,882.90,"1,071.21",26.23,25.88,0.00,0.35,-3.67,-3.61,0.00,-0.06,35,35
2-Jan-22,04,837.10,"1,064.44",25.38,25.10,0.00,0.28,19.30,18.94,0.00,0.36,35,35
2-Jan-22,05,928.30,"1,081.94",16.66,16.40,0.00,0.26,20.15,19.81,0.00,0.34,36,35
2-Jan-22,06,915.90,"1,118.39",23.76,23.47,0.00,0.29,23.09,22.70,0.00,0.39,36,36
2-Jan-22,07,905.70,"1,163.81",27.57,27.23,0.00,0.34,26.35,25.84,0.00,0.51,36,36
2-Jan-22,08,979.80,"1,246.49",29.86,29.38,0.00,0.48,28.88,28.25,0.00,0.63,36,36
2-Jan-22,09,"1,109.20","1,339.70",32.91,32.53,0.00,0.38,31.29,30.47,0.00,0.82,36,36
2-Jan-22,10,"1,201.00","1,411.78",36.76,36.25,0.00,0.51,32.38,31.67,0.00,0.71,38,37
2-Jan-22,11,"1,235.30","1,456.16",45.83,45.20,0.00,0.63,42.58,41.85,0.00,0.73,38,37
2-Jan-22,12,"1,273.60","1,501.89",44.40,43.70,0.00,0.70,47.77,47.03,0.00,0.74,38,38
2-Jan-22,13,"1,258.70","1,498.78",44.04,43.46,0.00,0.58,65.62,64.78,0.00,0.84,38,38
2-Jan-22,14,"1,253.50","1,505.38",42.30,41.95,0.00,0.35,61.78,61.15,0.00,0.63,38,37
2-Jan-22,15,"1,263.30","1,496.91",41.78,41.33,0.00,0.45,65.03,64.26,0.00,0.77,38,37
2-Jan-22,16,"1,290.10","1,518.04",43.87,43.40,0.00,0.47,57.51,56.43,0.00,1.08,37,36
2-Jan-22,17,"1,364.40","1,580.70",56.83,56.15,0.00,0.68,87.72,86.26,0.00,1.46,36,35
2-Jan-22,18,"1,410.50","1,631.13",62.70,61.98,0.00,0.72,139.33,137.62,0.00,1.71,36,34
2-Jan-22,19,"1,392.30","1,584.66",63.65,63.10,0.00,0.55,118.05,116.75,0.00,1.30,35,33
2-Jan-22,20,"1,358.90","1,533.64",60.86,60.51,0.00,0.35,65.83,65.35,0.00,0.48,34,32
2-Jan-22,21,"1,228.50","1,459.76",52.34,52.35,0.00,-0.01,45.53,45.38,0.00,0.15,34,32
2-Jan-22,22,"1,093.30","1,390.60",46.90,46.84,0.00,0.06,41.70,41.72,0.00,-0.02,33,27
2-Jan-22,23,"1,012.20","1,298.51",39.50,39.71,0.00,-0.21,40.46,40.54,0.00,-0.08,31,26
